id,name,name_short,arcana,suit,meaning_up,meaning_rev
00,The Fool,ar00,Major,Major,"New beginnings, innocence, adventure","Recklessness, risk, foolishness"
01,The Magician,ar01,Major,Major,"Manifestation, power, action","Manipulation, poor planning"
02,The High Priestess,ar02,Major,Major,"Intuition, mystery, wisdom","Secrets, confusion, hidden motives"
03,The Empress,ar03,Major,Major,"Abundance, nurturing, fertility","Dependence, smothering"
04,The Emperor,ar04,Major,Major,"Authority, structure, leadership","Control issues, rigidity"
05,The Hierophant,ar05,Major,Major,"Tradition, guidance, teaching","Rebellion, restriction"
06,The Lovers,ar06,Major,Major,"Love, union, relationships","Disharmony, imbalance"
07,The Chariot,ar07,Major,Major,"Determination, victory, control","Aggression, lack of direction"
08,Strength,ar08,Major,Major,"Courage, patience, compassion","Fear, weakness, insecurity"
09,The Hermit,ar09,Major,Major,"Reflection, solitude, wisdom","Isolation, loneliness"
10,Wheel of Fortune,ar10,Major,Major,"Change, cycles, destiny","Bad luck, resistance to change"
11,Justice,ar11,Major,Major,"Fairness, truth, law","Dishonesty, unfairness"
12,The Hanged Man,ar12,Major,Major,"Pause, surrender, perspective","Stagnation, indecision"
13,Death,ar13,Major,Major,"Transformation, endings, rebirth","Resistance, fear of change"
14,Temperance,ar14,Major,Major,"Balance, moderation, harmony","Excess, imbalance"
15,The Devil,ar15,Major,Major,"Attachment, temptation, materialism","Freedom, release"
16,The Tower,ar16,Major,Major,"Sudden change, revelation, chaos","Avoidance, fear of disaster"
17,The Star,ar17,Major,Major,"Hope, inspiration, healing","Despair, insecurity"
18,The Moon,ar18,Major,Major,"Illusion, intuition, dreams","Confusion, fear"
19,The Sun,ar19,Major,Major,"Joy, success, positivity","Negativity, temporary sadness"
20,Judgement,ar20,Major,Major,"Awakening, renewal, purpose","Self-doubt, avoidance"
21,The World,ar21,Major,Major,"Completion, achievement, fulfillment","Lack of closure"
22,Ace of Cups,cuac,Minor,Cups,"Love, compassion, creativity","Blocked emotions"
23,Two of Cups,cu02,Minor,Cups,"Partnership, connection","Conflict, imbalance"
24,Three of Cups,cu03,Minor,Cups,"Celebration, friendship","Overindulgence, gossip"
25,Four of Cups,cu04,Minor,Cups,"Contemplation, apathy","Awareness, acceptance"
26,Five of Cups,cu05,Minor,Cups,"Loss, grief","Acceptance, moving on"
27,Six of Cups,cu06,Minor,Cups,"Nostalgia, memories","Stuck in the past"
28,Seven of Cups,cu07,Minor,Cups,"Choices, imagination","Confusion, distraction"
29,Eight of Cups,cu08,Minor,Cups,"Walking away, search","Fear of change"
30,Nine of Cups,cu09,Minor,Cups,"Satisfaction, wishes fulfilled","Greed, dissatisfaction"
31,Ten of Cups,cu10,Minor,Cups,"Harmony, happiness","Conflict, broken relationships"
32,Page of Cups,cupa,Minor,Cups,"Creativity, curiosity","Emotional immaturity"
33,Knight of Cups,cukn,Minor,Cups,"Romance, charm","Moodiness, disappointment"
34,Queen of Cups,cuqu,Minor,Cups,"Compassion, calm","Insecurity, dependence"
35,King of Cups,cuki,Minor,Cups,"Wisdom, emotional balance","Coldness, manipulation"
36,Ace of Pentacles,peac,Minor,Pentacles,"Opportunity, prosperity","Lost opportunity"
37,Two of Pentacles,pe02,Minor,Pentacles,"Balance, adaptability","Overwhelm, disorganization"
38,Three of Pentacles,pe03,Minor,Pentacles,"Teamwork, skill","Lack of teamwork"
39,Four of Pentacles,pe04,Minor,Pentacles,"Security, control","Greed, possessiveness"
40,Five of Pentacles,pe05,Minor,Pentacles,"Hardship, struggle","Recovery, support"
41,Six of Pentacles,pe06,Minor,Pentacles,"Generosity, sharing","Debt, imbalance"
42,Seven of Pentacles,pe07,Minor,Pentacles,"Patience, investment","Lack of reward"
43,Eight of Pentacles,pe08,Minor,Pentacles,"Skill, dedication","Perfectionism"
44,Nine of Pentacles,pe09,Minor,Pentacles,"Luxury, independence","Overinvestment"
45,Ten of Pentacles,pe10,Minor,Pentacles,"Legacy, wealth","Instability, conflict"
46,Page of Pentacles,pepa,Minor,Pentacles,"Learning, ambition","Laziness, setbacks"
47,Knight of Pentacles,pekn,Minor,Pentacles,"Responsibility, routine","Boredom, stubbornness"
48,Queen of Pentacles,pequ,Minor,Pentacles,"Practicality, comfort","Self-centeredness"
49,King of Pentacles,peki,Minor,Pentacles,"Success, discipline","Greed, excess"
50,Ace of Swords,swac,Minor,Swords,"Clarity, truth","Confusion, chaos"
51,Two of Swords,sw02,Minor,Swords,"Difficult choices","Indecision, stalemate"
52,Three of Swords,sw03,Minor,Swords,"Heartbreak, sorrow","Healing, forgiveness"
53,Four of Swords,sw04,Minor,Swords,"Rest, recovery","Burnout, stress"
54,Five of Swords,sw05,Minor,Swords,"Conflict, tension","Reconciliation"
55,Six of Swords,sw06,Minor,Swords,"Transition, moving on","Resistance to change"
56,Seven of Swords,sw07,Minor,Swords,"Strategy, deception","Exposure, honesty"
57,Eight of Swords,sw08,Minor,Swords,"Restriction, fear","Freedom, empowerment"
58,Nine of Swords,sw09,Minor,Swords,"Anxiety, worry","Hope, recovery"
59,Ten of Swords,sw10,Minor,Swords,"Endings, betrayal","Recovery, survival"
60,Page of Swords,swpa,Minor,Swords,"Curiosity, vigilance","Deception, haste"
61,Knight of Swords,swkn,Minor,Swords,"Ambition, action","Impulsiveness"
62,Queen of Swords,swqu,Minor,Swords,"Truth, independence","Coldness, bitterness"
63,King of Swords,swki,Minor,Swords,"Authority, logic","Manipulation, harshness"
64,Ace of Wands,waac,Minor,Wands,"Inspiration, creation","Delays, lack of energy"
65,Two of Wands,wa02,Minor,Wands,"Planning, progress","Fear of change"
66,Three of Wands,wa03,Minor,Wands,"Expansion, foresight","Obstacles, delays"
67,Four of Wands,wa04,Minor,Wands,"Celebration, stability","Instability, tension"
68,Five of Wands,wa05,Minor,Wands,"Competition, conflict","Avoiding conflict"
69,Six of Wands,wa06,Minor,Wands,"Victory, recognition","Ego, lack of confidence"
70,Seven of Wands,wa07,Minor,Wands,"Defense, perseverance","Giving up, exhaustion"
71,Eight of Wands,wa08,Minor,Wands,"Speed, movement","Delays, frustration"
72,Nine of Wands,wa09,Minor,Wands,"Resilience, persistence","Fatigue, paranoia"
73,Ten of Wands,wa10,Minor,Wands,"Burden, responsibility","Release, delegation"
74,Page of Wands,wapa,Minor,Wands,"Adventure, enthusiasm","Setbacks, lack of direction"
75,Knight of Wands,wakn,Minor,Wands,"Passion, action","Impulsiveness, recklessness"
76,Queen of Wands,waqu,Minor,Wands,"Confidence, determination","Jealousy, selfishness"
77,King of Wands,waki,Minor,Wands,"Leadership, vision","Arrogance, impulsiveness"